localities,assassination,theft,gang_rape,burglary,rape,assualt_attack,harassment(sexual),crime_total,area_total,longitude,latatitude,area/1000000,crime_total/area
JAFFARPUR KALAN,4,724,2,41,11,11,6,799,70481699.34,76.91555,28.59572,70.48169934,11.33627605
MUNDKA,3,244,1,14,5,12,4,270,48594570.76,76.96085,28.67042,48.59457076,5.556176251
BABA HARI DAS NAGAR,4,414,2,70,9,18,8,512,28994345.7,76.96681,28.62867,28.9943457,17.65861542
NAJAFGARH,4,900,1,60,4,10,10,973,8473809.244,76.98269,28.60975,8.473809244,114.8243927
CHHAWLA,4,485,1,65,6,16,11,575,26321657.71,76.99466,28.58691,26.32165771,21.84512869
KANJHAWALA,3,312,3,21,6,24,12,381,35502403.02,77.00361,28.72582,35.50240302,10.73166793
DWARKA NORTH,5,109,1,16,3,13,15,162,30080760.1,77.01564,28.60369,30.0807601,5.38550221
BAWANA,8,388,4,96,20,14,9,526,40340135.04,77.0228,28.80659,40.34013504,13.03912343
RANHOLA,5,324,3,48,15,48,34,464,11296035.63,77.03599,28.65375,11.29603563,41.07635769
BAWANA,8,388,4,96,20,14,9,539,40340135.04,77.04254,28.79654,40.34013504,13.36138314
BEGUM PUR,2,418,1,79,4,8,5,517,35502403.02,77.05179,28.72449,35.50240302,14.56239454
DWARKA SEC-23,6,442,1,31,1,5,2,475,30080760.1,77.05849,28.56411,30.0807601,15.79082438
AMAN VIHAR,12,492,2,90,14,26,13,649,3309100.054,77.06081,28.70965,3.309100054,196.1258316
UTTAM NAGAR,4,1047,2,87,10,24,22,1180,2759587.599,77.06488,28.62499,2.759587599,427.6001242
BINDAPUR,8,422,2,70,5,14,10,531,2580291.62,77.06618,28.6091,2.58029162,205.7906928
DWARKA SOUTH,6,304,3,31,8,18,5,362,30080760.1,77.06666,28.57837,30.0807601,12.03427037
NANGLOI,5,843,6,64,13,24,16,955,2265473.634,77.06698,28.68199,2.265473634,421.5454048
BINDAPUR,6,422,2,67,4,12,9,509,2759587.599,77.06744,28.62046,2.759587599,184.4478502
VIKAS PURI,4,209,2,17,3,8,2,232,1259873.994,77.06834,28.62997,1.259873994,184.1453995
NIHAL VIHAR,3,442,4,42,6,15,10,509,3672222.739,77.0717,28.665,3.672222739,138.6081499
SULTAN PURI,2,636,1,72,9,17,8,729,1987282.493,77.07856,28.70265,1.987282493,366.8325981
SHAHBAD DAIRY,2,320,1,21,8,6,7,352,49834861.65,77.07894,28.74766,49.83486165,7.063328528
JANAK PURI,10,408,6,34,16,26,4,491,2063327.354,77.08188,28.62863,2.063327354,237.9651484
PALAM VILLAGE,6,197,4,25,9,20,5,253,1339015.744,77.08293,28.58809,1.339015744,188.9447537
DABRI,12,245,2,85,29,29,18,420,3413225.548,77.086,28.61268,3.413225548,123.0507607
SAGARPUR,4,185,1,17,8,7,6,228,1295763.292,77.08644,28.59139,1.295763292,175.9580638
KAPASHERA,3,148,4,22,12,17,3,196,21512784.91,77.0872,28.52958,21.51278491,9.110861324
NARELA,8,321,1,20,17,39,7,400,20345489.09,77.08849,28.85321,20.34548909,19.6603777
MIANWALI NAGAR,3,405,2,52,13,30,9,514,1742059.973,77.08879,28.67965,1.742059973,295.0529878
MANGOLPURI,10,121,2,15,15,30,11,186,2992404.442,77.09163,28.69664,2.992404442,62.15737331
HARI NAGAR,7,474,1,17,17,22,6,528,2398373.599,77.09946,28.60935,2.398373599,220.1491879
PASCHIM VIHAR,4,531,1,51,13,14,31,632,3806875.917,77.10115,28.67112,3.806875917,166.0153926
TILAK NAGAR,9,471,4,47,29,28,9,584,1634419.566,77.10143,28.63896,1.634419566,357.3133926
VIJAY VIHAR,2,237,1,15,3,9,6,273,2661754.515,77.10186,28.71003,2.661754515,102.5639286
KHYALA,7,668,7,36,18,61,12,793,2105282.034,77.11332,28.65761,2.105282034,376.6716227
