Locality,type 0f crime,date,time,area of the locality,sloved?,total police officers,
BHALSWA DAIRY,theft,24/05/12,14:30,4.49852205,0,32,
MANDIR MARG,theft,26/02/15,5:33,9.889059631,0,89,
NEW USMANPUR,theft,01/10/13,7:32,3.093393387,0,93,
PREETVIHAR,theft,22/02/15,23:41,2.272578698,0,84,
BADAR PUR,theft,01/09/13,12:18,2.116989697,1,89,
NEW ASHOK NAGAR,theft,25/06/15,1:00,3.300804937,0,45,
MANDAWALI,theft,11/05/14,5:02,4.995712622,0,22,
RANJIT NAGAR,theft,01/02/16,23:23,2.003783762,1,33,
BINDAPUR,theft,09/09/14,7:56,2.5680795,0,83,
UTTAM NAGAR,theft,18/03/15,22:25,2.747375479,1,85,
JAHANGIR PURI,theft,11/08/14,18:26,2.463668046,0,3,
JAMA MASJID,theft,19/08/12,1:28,3.817050224,1,45,
ASHOK VIHAR,theft,16/01/12,5:29,3.536288039,0,12,
KAROL BAGH,theft,02/01/12,0:46,1.643641889,0,31,
PREETVIHAR,theft,30/09/14,9:10,2.272578698,0,53,
MALVIYA NAGAR,theft,23/11/13,19:45,1.379853572,0,63,
BHAJANPURI,theft,22/04/16,20:30,10.15799164,1,73,
D.B.G ROAD,theft,01/03/14,16:16,1.643641889,1,37,
JAMIA NAGAR,assualt_murders,07/10/13,4:17,7.880690981,0,55,
DELHI CANTT,theft,06/09/15,3:58,42.83635341,0,19,
DARYA GANJ,robbery,01/03/13,14:16,5.570696132,1,63,
PUNJABI BAGH,theft,15/07/16,15:28,2.57731064,1,27,
BEGUM PUR,theft,22/05/14,12:11,35.4901909,1,61,
ROHINI SOUTH,theft,15/06/16,8:25,2.649542395,1,77,
MANDAWALI,theft,30/05/12,0:26,4.995712622,0,20,
HAUZ KHAS,rape,06/11/15,17:51,2.436526458,1,43,
PUNJABI BAGH,theft,20/02/13,4:20,2.57731064,1,88,
MANDIR MARG,theft,22/04/14,20:09,9.889059631,1,92,
CHITRANJAN PARK,theft,14/01/16,19:09,2.659329537,1,25,
MAURYA ENCLAVE,theft,07/11/12,21:05,5.879256003,1,30,
BARAKHAMBA ROAD,theft,05/03/12,0:07,3.748441999,1,41,
TIMARPUR,theft,09/09/14,18:26,6.149745104,1,54,
CHITRANJAN PARK,theft,29/06/13,20:53,2.659329537,0,34,
MAYURVIHAR,rape,10/05/14,13:07,2.111658828,1,51,
WELCOME,theft,01/08/16,16:35,1.805524407,1,64,
MODEL TOWN,theft,24/06/16,2:31,2.689157085,1,78,
JAMA MASJID,theft,17/08/15,18:21,3.817050224,1,42,
HARSH VIHAR,theft,20/10/13,16:06,2.572204895,1,29,
DWARKA SOUTH,theft,20/06/14,4:25,30.06854798,1,28,
NANGLOI,theft,23/06/12,16:24,2.253261514,0,96,
KIRTI NAGAR,theft,05/03/15,17:48,1.511976155,1,91,
CONNAUGHT PLACE,theft,27/05/12,0:07,5.266891996,1,54,
BINDAPUR,theft,15/05/15,16:43,2.747375479,1,4,
NAJAFGARH,theft,29/10/16,2:25,8.461597124,0,20,
MANDAWALI,theft,18/06/12,19:20,4.995712622,1,95,
NABI KARIM,theft,10/02/14,5:07,1.799866446,1,19,
ROHINI SOUTH,theft,15/03/13,20:02,2.649542395,1,28,
RAJINDER NAGAR,theft,04/08/15,10:20,3.013302528,0,27,
DELHI CANTT,theft,16/05/12,20:02,42.83635341,0,44,
PRASHANT VIHAR,murder,26/07/14,17:48,2.076678927,0,57,
MUKHERJI NAGAR,theft,10/09/15,10:23,6.149745104,1,29,
ROOP NAGAR,theft,15/03/15,2:18,1.076492634,0,12,
UTTAM NAGAR,theft,18/09/14,10:04,2.747375479,1,8,
MUKHERJI NAGAR,theft,19/10/12,2:03,6.149745104,1,68,
MANDIR MARG,theft,22/08/16,18:57,9.889059631,1,64,
NANDNAGARI,rape,28/08/15,0:35,2.02815697,0,53,
SONIA VIHAR,theft,06/09/15,14:16,4.453887398,1,38,
MAYA PURI,theft,20/02/12,6:31,2.553754816,1,3,
BABA HARI DAS NAGAR,theft,01/09/14,23:48,28.98213358,0,90,
JAFFARPUR KALAN,theft,04/10/15,22:54,70.46948722,1,89,
HAUZ KHAS,theft,07/08/13,13:10,2.436526458,1,15,
BHAJANPURI,sexual_harassement,30/09/15,9:35,10.15799164,1,8,
BARA HINDU RAO,theft,08/01/15,7:58,1.749323881,0,90,
BAWANA,theft,09/06/13,16:22,40.32792292,0,5,
MAYURVIHAR,theft,10/02/12,7:42,2.111658828,1,96,
BARAKHAMBA ROAD,theft,06/11/14,22:39,3.748441999,1,64,
RANJIT NAGAR,theft,29/06/16,0:43,2.003783762,1,82,
JAGATPURI,theft,09/02/16,18:55,1.021961219,0,84,
KALYANPURI,theft,28/07/15,4:42,0.878452779,1,15,
BINDAPUR,theft,21/05/15,7:31,2.747375479,0,8,
SAKET,theft,13/02/13,22:47,2.732945718,0,79,
PRASHANT VIHAR,rape,12/01/13,19:07,6.857849293,0,71,
NABI KARIM,theft,10/10/16,10:30,1.799866446,1,20,
MANDIR MARG,theft,23/04/15,23:29,9.889059631,0,38,
MAURICE NAGAR,robbery,08/10/14,18:44,6.149745104,0,8,
TILAK MARG,theft,07/06/15,1:03,3.748441999,0,35,
MAHENDRA PARK,theft,24/05/12,20:22,2.463668046,0,48,
RANHOLA,assualt_murders,12/08/14,19:03,11.28382351,1,53,
UTTAM NAGAR,theft,19/08/15,13:34,2.747375479,0,92,
SEELAMPUR,theft,18/05/14,22:25,1.57623738,1,28,
RAJOURI GARDEN,theft,22/04/13,9:04,1.731624057,0,31,
CONNAUGHT PLACE,theft,16/05/16,14:01,5.266891996,0,52,
KANJHAWALA,theft,23/11/16,23:06,35.4901909,1,7,
PANDAV NAGAR,assualt_murders,24/04/14,4:55,1.470612978,0,27,
